file_path,language,time_stamp,content,translation
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,0.000-2.740,"So the question is, what's your favorite festival?","So the question is, what's your favorite festival?"
datasets\Corpus\adult\audio\test_split\AD09001.wav,es,3.260-5.780,How did you celebrate your last festival?,How did you celebrate your last festival?
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,6.300-7.860,What do you feel about that?,What do you feel about that?
datasets\Corpus\adult\audio\test_split\AD09004.wav,fr,0.000-2.560,How did you celebrate your last festival?,How did you celebrate your last festival?
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,3.180-6.680,I celebrate my last festival with my daughter.,I celebrate my last festival with my daughter.
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,7.580-12.320,And my daughter loves Diwali.,My daughter loves crackers.
datasets\Corpus\adult\audio\test_split\AD09008.wav,en,0.000-2.780,"Yes, I do watching series.","Yes, I do watching series."
datasets\Corpus\adult\audio\test_split\AD09016.wav,hi,0.000-2.380,और यह यूपी में आता है,and it comes in UP
datasets\Corpus\adult\audio\test_split\AD09021.wav,en,0.000-4.740,What kind of food do you like? Can you tell me about your favorite dish?,What kind of food do you like? Can you tell me about your favorite dish?
datasets\Corpus\adult\audio\test_split\AD09028.wav,hi,0.000-2.540,ये मेरे सारे फेवरिट फूड्स हैं,These are all my favorite foods
datasets\Corpus\adult\audio\test_split\AD09032.wav,hi,0.000-0.880,वहाँ पर रूप,Stay there.
datasets\Corpus\adult\audio\test_split\AD09039.wav,en,0.000-6.940,worth seeing and I have also visited the beaches of Andaman and Nicoba.,worth seeing and I have also visited the beaches of Andaman and Nicoba.
datasets\Corpus\adult\audio\test_split\AD09051.wav,hi,0.000-7.440,पर उन्होंने हिम्मत नहीं हारी,"As they walked through the jungle, they felt as if someone was watching them."
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,0.000-7.000,"ये गुफा उन लोगों के लिए है जो दोस्ती में, प्यार में और साथ में हमेशा रहते हैं।","This cave is for those who live in friendship, love and togetherness."
datasets\Corpus\adult\audio\test_split\AD09055.wav,hi,7.000-13.000,चिंटू और राजू ने इस राज को समझा और इसके बाद से उनकी दोस्ती और मजबूत हो गई।,Chintu and Raju understood this kingdom and their friendship became stronger.
datasets\Corpus\adult\audio\test_split\AD09061.wav,en,0.000-6.560,"Veerbade bhai, known for his curiosity and Diyachoti bhai, admired for her creativity.","Veerbade bhai, known for his curiosity and Diyachoti bhai, admired for her creativity."
datasets\Corpus\adult\audio\test_split\AD09063.wav,en,0.000-5.600,"Dusty book Millie, old book Millie, filled with mysterious symbols and ancient drawings.","Dusty book Millie, old book Millie, filled with mysterious symbols and ancient drawings."
datasets\Corpus\adult\audio\test_split\AD09063.wav,en,6.320-9.260,"Excited by their discovery, they spent hours","Excited by their discovery, they spent hours"
datasets\Corpus\adult\audio\test_split\AD09066.wav,en,0.000-5.560,"Betted-breathed, they explored the old house, discovering a hidden passage behind a bookshelf.","Betted-breathed, they explored the old house, discovering a hidden passage behind a bookshelf."
datasets\Corpus\adult\audio\test_split\AD09067.wav,en,0.000-5.480,"Stepping through the passage, they found themselves in a lush magical forest and","Stepping through the passage, they found themselves in a lush magical forest and"
