audio,sentence,total_words,num_english_words,num_hindi_words,CMI,duration_sec,WPM,speech_rate,code_switch_count,hi_to_en_switch,en_to_hi_switch
AD09001.wav,So the question is what's your favourite festival? How did you celebrate your last festival? What do you feel about tha?,21,21,0,0.0,7.9005625,159.48,2.66,0,0,0
AD09002.wav,So my favourite festival is Diwali. The reason being इसका जो reason  है कि that it is a festival of light,21,17,4,19.05,10.3611875,121.61,2.03,4,2,2
AD09003.wav,And हम लोगों को मतलब सब लोग बनाते हैं इसको और एक दूसरे से जो भी दिल में एक दूसरे के प्रति grudges है उन सब को दूर रख के we celebrate that festival because it's a festival of light,40,12,28,30.0,14.138375,169.75,2.83,4,2,2
AD09004.wav,How did you celebrate your last festival? I celebrate my last festival with my daughter और जो मेरी daughter है उसको बहुत पसंद है diwali and as she loves crackers,30,22,8,26.67,15.4516875,116.49,1.94,4,2,2
AD09005.wav,What do you feel about that?,6,6,0,0.0,1.5374375,234.16,3.9,0,0,0
AD09006.wav,Celebrating Diwali with our daughter is always a bliss and I feel good about it,15,15,0,0.0,5.6636875,158.91,2.65,0,0,0
AD09007.wav,The next question is do you like watching series or TV show? Can you tell me about your favourite series or TV show?,23,23,0,0.0,7.7268125,178.6,2.98,0,0,0
AD09008.wav,Yes I do watching series,5,5,0,0.0,2.784875,107.72,1.8,0,0,0
AD09009.wav,but जब मुझे time मिलता है मैं तभी देखती हूं I am not a habitual viewer of watching series or TV show but जब मैं खाली रहती हूं when I am like I have ample amount of time then only I watch series ,43,30,13,30.23,16.2673125,158.6,2.64,6,3,3
AD09011.wav,Lastly,1,1,0,0.0,0.67375,89.05,1.48,0,0,0
AD09012.wav,जो मैंने last series देखी वो मैंने the great Indian Murder देखी,12,6,6,50.0,4.0803125,176.46,2.94,4,2,2
AD09013.wav,I feel good about it because I love watching series and that are thriller,14,14,0,0.0,8.01475,104.81,1.75,0,0,0
AD09014.wav,The next question is what's your hometown? What's so special about the place? Would you like to recommend something from your place to everyone?,24,24,0,0.0,9.8859375,145.66,2.43,0,0,0
AD09015.wav,I belong to Saharanpur,4,4,0,0.0,1.623,147.87,2.46,0,0,0
AD09016.wav,and ये यूपी में आता है,6,1,5,16.67,2.528625,142.37,2.37,1,0,1
AD09017.wav,जो Saharanpur की speciality है वो wood carving है और जो वहां का textile है वो वहां की speciality है,20,6,14,30.0,7.9625,150.71,2.51,10,5,5
AD09018.wav,if I like to recommend something from Saharanpur to everyone is जो वहां का wood carving का जो furniture है,20,14,6,30.0,7.4858125,160.3,2.67,5,2,3
AD09019.wav,that is very good and the suits the textile and the design of the suits that are also very good. So I recommend,23,23,0,0.0,9.4080625,146.68,2.44,0,0,0
AD09020.wav,those stuff to everyone,4,4,0,0.0,1.4855625,161.55,2.69,0,0,0
AD09021.wav,What kind of food do you like? Can you tell me about your favourite dish?,15,15,0,0.0,4.8885625,184.1,3.07,0,0,0
AD09022.wav,I like Indian food and sometime I love Chinese also it depends on my mood,15,15,0,0.0,7.4939375,120.1,2.0,0,0,0
AD09023.wav,Indian में मुझे दाल चावल पसंद है,7,1,6,14.29,2.7085,155.07,2.58,1,0,1
AD09024.wav,and पूरी भाजी also I like,6,4,2,33.33,2.9211875,123.24,2.05,2,1,1
AD09025.wav,अगर मेरी favourite dish की बात करें my favourite dish is राजमा चावल,13,6,7,46.15,6.2178125,125.45,2.09,4,2,2
AD09026.wav,I love it,3,3,0,0.0,0.794375,226.59,3.78,0,0,0
AD09027.wav,if We talk about Chinese food I love Manchurian balls with fried rice,13,13,0,0.0,5.952,131.05,2.18,0,0,0
AD09028.wav,ये मेरे सारे favourite foods हैं and,7,3,4,42.86,3.1870625,131.78,2.2,3,2,1
AD09029.wav,And yes if we talk about Indian food I love everything,11,11,0,0.0,4.94175,133.56,2.23,0,0,0
AD09030.wav,Everything like South Indian also I like if we talk about Gujarat. I like Dhokla Khakhra also,17,17,0,0.0,7.387625,138.07,2.3,0,0,0
AD09031.wav,और अगर हम दिल्ली जाते हैं तो Delhi में वहां का जो छोले भटूरे हैं that is famous और मुझे छोले भटूरे दिल्ली के बहुत पसंद है अगर हम लखनऊ की बात करें तो non-vegetarian के लिए there are good options,41,9,32,21.95,15.2036875,161.8,2.7,7,4,3
AD09032.wav,वहां पर,2,0,2,0.0,0.90075,133.22,2.22,0,0,0
AD09033.wav,कबाब पराठा is a world famous dish Mughlai and all sort of food that is Lucknow is famous for,19,17,2,10.53,10.4183125,109.42,1.82,1,1,0
AD09034.wav,What is your favourite destination for holiday? Why do you like that place?,13,13,0,0.0,3.9314375,198.4,3.31,0,0,0
AD09035.wav,अगर हम destination की बात करें holiday के लिए तो मुझे beaches भी पसंद है and I love mountains also,20,8,12,40.0,8.5573125,140.23,2.34,7,4,3
AD09036.wav,अभी तक मैंने जो beaches visit करी है I have gone through the beaches of Goa. Anjuna Beach and Candolim beach and the beaches of Pondicherry. Pondicherry के beaches are also very good वहां पर French Pondicherry is famous for French colonies.हमेशा साथ।,43,32,11,25.58,20.04225,128.73,2.15,8,4,4
AD09037.wav,And now if we talk about the beaches of Kerala. I visit Alappuzha I visited Trivandrum. Beaches of Alappuzha best,20,20,0,0.0,13.1300625,91.39,1.52,0,0,0
AD09038.wav,the जो beauty वहां पे back water से आती है that is a,13,7,6,46.15,4.41,176.87,2.95,6,3,3
AD09039.wav,worth seeing and I have also visited the beaches of Andaman and Nicobar,13,13,0,0.0,7.228125,107.91,1.8,0,0,0
AD09040.wav,इन सबकी अगर हम बात करें तो beaches Andaman and Nicobar के beaches are clean and the water is slightly blue,21,13,8,38.1,8.451,149.09,2.48,3,2,1
AD09041.wav,If I talk about mountains,5,5,0,0.0,1.804625,166.24,2.77,0,0,0
AD09042.wav,Many hill station of Himachal and the places in Uttranchal also,11,11,0,0.0,11.2690625,58.57,0.98,0,0,0
AD09043.wav,Why do you like that place?,6,6,0,0.0,2.76175,130.35,2.17,0,0,0
AD09044.wav,peace,1,1,0,0.0,7.334375,8.18,0.14,0,0,0
AD09045.wav,एक छोटे से गांव,4,0,4,0.0,1.911,125.59,2.09,0,0,0
AD09046.wav,में दो friends रहते थे चिंटू और राजू दोनों ही बच्चे बहुत मस्ती करते थे,15,1,14,6.67,6.8026875,132.3,2.21,2,1,1
AD09047.wav,और उनकी friendship बिल्कुल,4,1,3,25.0,2.3895625,100.44,1.67,2,1,1
AD09048.wav,चुटकियों की तरह थी,4,0,4,0.0,2.0173125,118.97,1.98,0,0,0
AD09049.wav,हमेशा पास हमेशा साथ चिंटू और राजू ने एक दिन सुना कि उनके पास के जंगल में एक जादुई गुफा है इसे सुनके दोनों ने सोचा कि ये उनका next adventure spot हो सकता है,35,3,32,8.57,14.565625,144.18,2.4,2,1,1
AD09050.wav,So चिंटू और राजू ने अपने झोलो में कुछ snacks और पानी pack किया और गुफा की तरफ चल दिए,20,3,17,15.0,7.60025,157.89,2.63,5,2,3
AD09051.wav,As they walked through the jungle,6,6,0,0.0,7.866125,45.77,0.76,0,0,0
AD09052.wav,वे गुफा तक पहुंच गए उन्हें गुफा से एक अजीब सी आवाज आई welcome चिंटू और राजू मैं हूं गुफा का guardian,22,2,20,9.09,8.5041875,155.22,2.59,3,2,1
AD09053.wav,तुम दोनों को यहां के राज पता चलेंगे चिंटू और राजू ने guardian के दिए गए task complete कर लिए और हर एक task के बाद उन्हें गुफा का secret थोड़ा और समझ आ गया,35,5,30,14.29,13.7680625,152.53,2.54,8,4,4
AD09054.wav,slowly and steadily the secrets of the Cave began to unfold before them इस गुफा का राज है साथ निभाना और एक दूसरों की मदद करना,26,13,13,50.0,10.988125,141.97,2.37,1,0,1
AD09055.wav,यह गुफा उन लोगों के लिए है जो दोस्ती में प्यार में और साथ में हमेशा रहते हैं चिंटू और राजू ने इस राज को समझा और इसके बाद से उनकी दोस्ती और मजबूत हो गई,36,0,36,0.0,13.04825,165.54,2.76,0,0,0
AD09056.wav,तो बच्चों यह थी चिंटू और राजू की अनोखी गुफा की कहानी दोस्ती और साथ में रहना ही असली खुशी है,21,0,21,0.0,8.984125,140.25,2.34,0,0,0
AD09057.wav,मिलते हैं अगली कहानी में,5,0,5,0.0,2.23,134.53,2.24,0,0,0
AD09058.wav,तब तक अपना ख्याल रखो और दोस्ती को हमेशा समझो अलविदा,11,0,11,0.0,5.952,110.89,1.85,0,0,0
AD09059.wav,In the heart of a busting,6,6,0,0.0,2.4426875,147.38,2.46,0,0,0
AD09060.wav,दो siblings रहते थे वीर और दीया,7,1,6,14.29,2.92125,143.77,2.4,2,1,1
