audio,sentence,path,total_words,num_english_words,num_hindi_words,CMI,duration_sec,WPM,speech_rate,code_switch_count,hi_to_en_switch,en_to_hi_switch
/home/upes/Objectives/Children_Audio/CH03004.wav,मेरा favourite festival diwali है मुझे दिवाली में बहुत अच्छा लगता है पटाखे जलाना और,/home/upes/Objectives/Children_Audio/CH03004.wav,15,3,12,20.0,7.6420625,117.77,1.96,2,1,1
/home/upes/Objectives/Children_Audio/CH03009.wav,मुझे cartoon में shinchan cartoon बहुत अच्छा लगता है,/home/upes/Objectives/Children_Audio/CH03009.wav,9,3,6,33.33,4.3640625,123.74,2.06,4,2,2
/home/upes/Objectives/Children_Audio/CH03014.wav,हम देहरादून हम देहरादून में रहते हैं देहरादून के एक गोसाई गांव में हम रहते हैं हमारा गांव का नाम गोसाई गांव कंडोली upper है,/home/upes/Objectives/Children_Audio/CH03014.wav,25,1,24,4.0,11.528375,130.11,2.17,2,1,1
/home/upes/Objectives/Children_Audio/CH03030.wav,उन्हें गुफा से एक अजीब आवाज आई welcome चिंटू और राजू,/home/upes/Objectives/Children_Audio/CH03030.wav,11,1,10,9.09,3.31525,199.08,3.32,2,1,1
/home/upes/Objectives/Children_Audio/CH03036.wav,इस cave का secret,/home/upes/Objectives/Children_Audio/CH03036.wav,4,2,2,50.0,1.4521875,165.27,2.75,3,2,1
/home/upes/Objectives/Children_Audio/CH03067.wav,क्या आप इस image को describe कर सकते हैं इसके बारे में आपके क्या,/home/upes/Objectives/Children_Audio/CH03067.wav,14,2,12,14.29,4.585125,183.2,3.05,4,2,2
/home/upes/Objectives/Children_Audio/CH03075.wav,बैठने के लिए चटाई बिछी हुई हैं,/home/upes/Objectives/Children_Audio/CH03075.wav,7,0,7,0.0,2.0145,208.49,3.47,0,0,0
/home/upes/Objectives/Children_Audio/CH03091.wav,और ये किसी गमले में सजा हुआ है पेड़ पीछे इसके दिवार है,/home/upes/Objectives/Children_Audio/CH03091.wav,13,0,13,0.0,4.3865625,177.82,2.96,0,0,0
/home/upes/Objectives/Children_Audio/CH05027.wav,जब एक दिन वो दोबारा से गलत medicines,/home/upes/Objectives/Children_Audio/CH05027.wav,8,1,7,12.5,3.5351875,135.78,2.26,1,1,0
/home/upes/Objectives/Children_Audio/CH05032.wav,तुम उसे छोड़ दो ऐसे ही,/home/upes/Objectives/Children_Audio/CH05032.wav,6,0,6,0.0,1.557125,231.2,3.85,0,0,0
/home/upes/Objectives/Children_Audio/CH05041.wav,police बन के आता है और अगली duty उसी,/home/upes/Objectives/Children_Audio/CH05041.wav,9,2,7,22.22,3.08025,175.31,2.92,3,1,2
/home/upes/Objectives/Children_Audio/CH05042.wav,उसकी उसी शहर में लगी थी,/home/upes/Objectives/Children_Audio/CH05042.wav,6,0,6,0.0,1.95275,184.36,3.07,0,0,0
/home/upes/Objectives/Children_Audio/CH05051.wav,मेरा hometown kandholi है,/home/upes/Objectives/Children_Audio/CH05051.wav,4,2,2,50.0,2.8005,85.7,1.43,2,1,1
/home/upes/Objectives/Children_Audio/CH05054.wav,तो मुझे यहां पे हरियाली ये सब चीजे ज्यादा अच्छी लगती है,/home/upes/Objectives/Children_Audio/CH05054.wav,12,0,12,0.0,4.6676875,154.25,2.57,0,0,0
/home/upes/Objectives/Children_Audio/CH05063.wav,मुझे पसंद है मटर पनीर,/home/upes/Objectives/Children_Audio/CH05063.wav,5,0,5,0.0,2.0469375,146.56,2.44,0,0,0
/home/upes/Objectives/Children_Audio/CH05066.wav,छुट्टियां के लिए आपकी favourite जगह क्या है आपको वह place क्यों पसंद है,/home/upes/Objectives/Children_Audio/CH05066.wav,14,2,12,14.29,7.3029375,115.02,1.92,4,2,2
/home/upes/Objectives/Children_Audio/CH05075.wav,दोनों ही बच्चे बहुत fun करते थे,/home/upes/Objectives/Children_Audio/CH05075.wav,7,1,6,14.29,2.70625,155.2,2.59,2,1,1
/home/upes/Objectives/Children_Audio/CH05092.wav,इस cave का secret है साथ निभाना और एक दूसरे की help करना,/home/upes/Objectives/Children_Audio/CH05092.wav,13,3,10,23.08,5.2118125,149.66,2.49,6,3,3
/home/upes/Objectives/Children_Audio/CH05110.wav,उन्होंने forest के अंदर और गहरा enter किया,/home/upes/Objectives/Children_Audio/CH05110.wav,8,2,6,25.0,3.8365625,125.11,2.09,4,2,2
/home/upes/Objectives/Children_Audio/CH05112.wav,कई घंटो के अन्वेषण के बाद उन्होंने forest के mid में स्थित एक महल को खोज निकाला,/home/upes/Objectives/Children_Audio/CH05112.wav,17,2,15,11.76,7.8304375,130.26,2.17,4,2,2
/home/upes/Objectives/Children_Audio/CH05119.wav,The man is standing for here,/home/upes/Objectives/Children_Audio/CH05119.wav,6,6,0,0.0,2.386,150.88,2.51,0,0,0
